0.03735,-0.01653,0.05276,-0.01303,0.00575,0.01513,0.005875,0.03008,0.04337,-0.01215,0.2377,-0.02324,-0.0647,-0.0832,0.05203,0.2207,0.1049,0.10706,-2.121,
0.1918,-0.03186,-0.5483,-0.00234,-0.1753,-0.01387,0.2355,0.0692,-0.489,0.2223,0.2266,-0.1349,0.02992,-1.213,0.1271,0.2073,0.039,0.1237,-0.10693,
-0.331,-0.01724,0.496,-0.0626,0.03677,-0.1048,-0.1528,-0.09393,0.411,0.1971,0.4397,0.6094,0.1843,0.3792,-0.0633,-0.2181,0.1724,-0.7944,0.07214,
-0.02567,-0.1619,-0.4895,0.03683,-0.347,0.01845,0.524,-0.2869,-0.4624,0.1081,0.2793,-0.4429,0.4673,-0.0353,-0.3474,-0.2086,0.3975,0.915,0.003357,
-0.0938,-0.009026,0.1138,0.00806,-0.01209,-0.02032,-0.02547,0.001048,0.05618,0.1092,0.444,0.1855,0.8096,-0.03075,0.0687,-0.2952,-0.932,-0.1965,0.3816,
0.08307,-0.0313,0.2356,0.01253,-0.1581,0.01659,0.1377,-0.01436,0.1777,0.079,-0.064,0.0636,-0.02776,0.07263,-5.836,0.00822,0.0432,-0.01352,0.03558,
0.1455,-0.1986,-0.0912,-0.03445,-0.1251,-0.0169,0.4565,-0.1716,-0.11896,-0.758,-0.05832,0.2261,-0.0936,0.0752,-1.547,0.144,0.01909,0.04697,-0.001403,
0.03607,-0.002445,0.0736,0.001193,0.001596,0.02573,-0.003473,0.01139,0.0599,-0.02487,0.1307,0.08386,-2.525,-0.1812,0.2517,0.3738,0.2783,-0.01912,-0.08276,
0.1423,-0.10004,-0.4412,-0.00809,-0.2603,-0.01095,0.3618,-0.03287,-0.4568,-0.02519,-0.1083,-0.02383,0.01875,0.3157,0.079,-1.101,-0.01984,0.05084,0.3486,
0.03014,-0.018,0.01561,-0.003815,-0.00523,0.006634,0.0343,-0.003107,0.02513,-0.0659,-2.541,0.087,0.00879,0.2966,0.2211,-0.07153,0.1315,-0.10736,0.3608,
-0.1481,0.0147,0.02411,-0.00558,-0.002121,-0.009964,-0.0795,-0.1726,0.08405,-0.05902,0.1084,-0.0214,0.6304,0.01148,0.2664,-0.3816,0.671,-0.2705,-0.874,
-0.104,-0.001572,0.0202,0.006,0.05917,-0.0094,-0.1816,0.01386,0.03314,0.0643,-0.05893,0.11285,-0.10364,0.1495,0.5083,0.2773,-0.2952,-0.925,-0.3997,
0.001159,0.00471,0.1256,0.003029,-0.0006227,-0.001359,-0.001019,-0.0039,0.1147,-0.03146,-0.01598,0.1147,-0.2036,-2.625,0.1982,0.3635,-0.0659,0.2188,-0.256,
0.1526,-0.09564,-0.348,0.03757,-0.1888,-0.02399,0.2917,-0.0942,-0.3362,-0.1981,0.246,-1.073,0.09314,0.02339,0.1081,0.0701,-0.08014,0.3618,-0.2668,
0.00612,-0.0002269,0.1199,-0.005085,0.002422,0.005745,0.009544,0.003067,0.08685,-0.01492,-0.0894,0.286,-0.07434,0.08093,0.011566,0.02733,-0.004112,-1.847,0.03738,
-0.01808,0.01619,0.1442,-0.006454,0.01332,0.003843,-0.00651,-0.00474,0.10834,0.0004559,-0.06213,-2.674,-0.05396,0.1826,0.4258,0.09827,-0.1525,0.4163,-0.1058,
-0.11084,0.03482,-0.0987,0.002113,0.012276,0.01776,-0.0731,-0.0275,-0.0348,0.2524,0.4666,-0.3018,-0.4453,0.01636,0.264,-0.355,-0.1907,0.049,0.801,
-0.0639,-0.04318,0.069,0.01854,-0.02348,-0.0005655,0.05423,-0.06445,0.04422,-0.1171,0.407,0.0881,-0.5034,-0.5815,0.01772,0.5444,0.4475,-0.1263,-0.3152,
-0.01291,-0.00761,0.1278,0.01735,-0.01913,0.001693,0.02142,-0.02483,0.1168,-0.01926,-0.234,0.1862,-0.06055,0.453,0.208,-2.326,-0.228,0.1948,-0.05444,
0.2019,-0.126,-0.575,0.012024,-0.2666,0.0086,0.3816,0.0258,-0.5264,0.05457,-0.141,0.2009,0.01869,0.03268,0.1719,-0.07043,0.03387,-1.052,0.2153,
-0.01232,-0.02147,0.0809,-0.000656,-0.0216,-0.003647,0.01744,-0.001189,0.0696,-0.0766,0.0723,0.02179,0.09735,0.0943,0.06223,0.005173,-2.045,0.0374,0.07697,
-0.1906,-0.02641,0.1051,0.003502,-0.0569,0.002054,-0.05103,-0.12,0.0723,0.03354,-0.829,-0.4424,0.6167,-0.266,0.269,-0.01304,0.754,0.0994,-0.1335,
