-0.1704,-0.08044,0.007416,0.2605,-0.1952,1.248,0.269,-0.1078,0.1464,-0.12286,-0.1008,0.00404,0.10065,-0.4065,-0.2522,-0.3503,-0.4727,-0.05554,0.1842,-0.845,0.004112,-0.332,
0.26,0.38,-0.5557,0.1456,-0.02269,0.04895,0.072,0.2869,-0.2954,-0.856,-0.828,-0.08704,0.2732,0.4236,-0.464,0.4207,-0.077,0.3782,-0.4558,-0.533,0.3838,-0.2052,
0.2047,0.6807,-0.654,-0.828,-0.1406,-0.3242,0.581,0.1556,-0.2498,0.0488,0.1521,-0.2047,-0.2312,-0.04166,-0.133,-0.1584,0.04745,0.0941,2.324,-0.2222,0.02083,0.1652,
-0.2522,0.3147,-0.3357,-0.681,0.5454,0.04483,0.1484,-0.774,-0.5127,-0.2854,-0.4102,-0.2556,0.352,-0.3318,0.2766,-0.06116,-0.2578,0.2507,0.064,0.167,0.466,-0.518,
0.5654,0.109,0.2964,-0.3154,-0.1832,0.1292,0.09,0.02895,-0.1749,0.5146,-0.06696,-0.2029,0.3289,-0.414,0.2927,-0.454,-0.829,0.4453,-0.453,0.0706,-0.6553,-0.04248,
-0.1769,0.001919,0.141,0.09216,-0.8438,0.06903,-0.1943,-0.02388,0.2207,-0.2683,-0.05838,-0.1636,0.004227,-0.06305,-0.1599,0.0902,-0.7485,-0.3123,0.0345,-0.2129,1.804,-0.4294,
0.1255,-0.006783,-0.11804,-0.707,-0.4363,-0.10864,0.2296,-0.0162,-0.1652,0.004898,-0.05722,-0.4985,-0.2081,0.8535,2.492,-0.4492,-0.02437,-0.2996,-0.1146,-0.4485,0.2131,0.316,
-0.2917,-0.504,0.135,-0.454,-1.057,0.2198,0.1709,0.484,0.4573,-0.51,-0.3376,-0.1107,0.161,0.3452,-0.1553,0.2224,0.33,0.0626,0.3123,-0.5015,-0.382,-0.321,
-0.05078,-0.07416,-0.1823,-0.1008,0.1897,1.862,-0.176,-0.05667,-0.04517,-0.03308,0.03656,-0.02968,-0.02034,0.0849,0.05237,0.002573,-0.07465,0.03093,-0.01732,-0.2296,-0.03906,-0.1116,
0.5415,-0.1893,0.01284,-0.2551,0.05872,0.2102,-0.04303,-0.76,0.03705,0.4114,-0.1442,-0.1322,-0.3223,0.393,-0.4897,0.2505,-0.992,-0.8887,0.308,-0.429,0.05276,0.1096,
0.03008,-0.1387,0.2473,-1.146,-0.3533,-0.2964,0.4832,0.1455,-0.091,0.1636,0.2444,-0.2847,-0.1924,-0.2627,-0.2382,2.73,-0.1545,0.051,-0.1577,0.7104,0.0645,0.0658,
-0.7676,-0.5166,0.614,-0.2585,-0.1523,0.03598,0.0627,0.346,0.3865,0.1396,-0.1979,-0.1438,-0.4568,-0.5615,0.3447,-0.3787,-0.0736,-0.362,0.4338,0.2917,0.3218,-0.6694,
0.58,-0.5396,-0.1306,-0.2203,-0.2954,0.0991,0.2081,-0.0838,0.2344,-0.7397,0.581,-0.244,-0.1667,-0.2957,0.2136,-0.11273,-0.713,-0.2898,0.3215,0.0811,-0.08325,-0.6436,
0.2847,0.8022,-0.1381,-0.0698,0.0337,-0.2903,-0.369,0.3435,0.6953,0.1423,0.0848,0.00873,0.462,-0.6577,-0.6616,-0.6914,0.04443,-0.01788,0.3884,-0.3967,0.2988,0.0311,
-0.2223,-0.2059,-0.1153,0.068,0.05222,0.349,0.3652,0.6616,-0.1616,-0.1934,-0.65,-0.05234,-0.3599,-0.2001,-0.3196,-0.3484,0.0535,0.04144,-0.3086,-0.2764,0.617,-0.662,
-0.0315,-0.822,0.5522,0.1151,-0.2864,0.901,0.591,-0.1498,-0.684,-0.2227,-0.354,-0.01796,-0.3364,0.0715,0.01744,0.2605,-0.2515,-0.1309,-0.368,-0.1016,-0.0179,0.04004,
0.1033,-0.156,-0.0606,-0.891,-0.09656,-0.3289,0.516,-0.03897,0.736,0.1924,-0.01268,-0.1908,2.383,-0.2449,-0.2021,-0.1278,0.1769,-0.4626,-0.2465,-0.09296,0.1443,0.3394,
-0.05753,-0.4907,0.2427,0.3655,-0.726,0.0206,0.1952,-0.3125,0.4353,0.1499,-0.1954,-0.06525,-0.468,0.37,-0.3657,0.4358,0.1464,-0.676,0.4688,-0.666,0.009384,-0.1683,
-0.1003,0.1805,-0.127,0.4824,-0.01694,0.448,0.6646,-0.3538,0.2595,-0.1987,-0.04678,-0.1578,0.328,-0.4993,-0.3733,-0.341,-0.3853,-0.0436,0.3164,-0.6987,-0.2732,-0.2883,
-0.6274,0.319,0.2358,-0.1393,-0.515,0.2068,0.2048,-0.07666,-0.54,0.4287,-0.853,-0.1059,0.3406,0.1489,-0.2139,0.2458,-0.633,-0.255,-0.1603,-0.4766,-0.07294,0.547,
