-0.8945,-0.825,-0.04727,-0.4722,0.3132,-0.584,-0.0816,-0.639,-0.4482,0.3047,0.0382,-0.187,-0.679,1.324,-1.8545,-1.287,0.568,-0.0894,-1.516,0.6235,
-0.9766,-0.7905,-0.499,-0.694,0.1316,-0.582,0.1015,-0.6606,-0.594,0.63,0.715,-0.6235,-1.077,-0.1252,-1.921,-1.216,0.3938,-0.3845,-2.193,0.9316,
-1.953,-0.1265,-0.424,-0.7163,-0.679,-0.3667,-0.1858,-0.3606,-0.2617,0.74,1.426,-0.861,-0.787,-0.6406,-2.318,-0.1553,-0.05017,-0.02533,-2.355,0.509,
-1.713,0.3677,-0.3225,-0.2169,-0.879,-0.2905,-0.3367,0.09753,0.2296,0.07434,1.24,-0.7476,-0.4897,-0.2998,-1.127,0.2695,-0.2015,0.214,-2.61,-0.08716,
-2.346,0.355,-0.02269,-0.5127,-1.03,0.07434,-0.3735,0.8237,-0.3936,-0.9688,1.342,-0.9604,-0.796,-0.606,0.02415,-0.188,-0.45,0.225,-3.018,-0.2343,
-0.7676,-0.2634,0.2957,-1.113,-0.6978,0.2913,0.0626,1.211,-0.8184,-1.395,0.7344,-0.2976,-0.646,-0.0984,0.5347,-1.267,-0.712,0.1433,-3.28,-0.463,
-0.782,-0.2725,0.4878,-0.826,-0.4536,0.4348,-0.3032,0.782,-0.594,-1.481,0.0479,0.008934,-0.321,1.279,0.3035,-1.506,-0.1824,-0.0813,-2.162,-0.3662,
-0.9287,-0.674,0.00996,-0.693,0.3093,-0.5083,-0.384,-0.4788,-0.41,0.192,-0.3184,-0.2399,-0.911,1.83,-2.324,-1.939,1.1,-0.3872,-0.04007,0.8896,
-0.7495,0.3337,-0.3567,-0.5684,0.2195,-0.5825,-0.02151,-0.5195,-0.4465,0.2489,0.2449,-0.7783,-1.102,0.6035,-1.983,-1.501,0.654,-0.2568,-0.6235,1.04,
-1.63,0.603,-0.3633,-0.736,-0.5493,-0.3555,-0.496,-0.2144,-0.3037,0.469,0.8584,-1.362,-0.848,-0.2471,-1.398,-0.195,0.112,0.07513,-0.5137,0.7036,
-2.688,0.6357,-0.2656,-0.51,-1.214,-0.0791,-0.7573,0.3118,0.3577,0.5015,1.203,-1.316,-0.618,-0.2023,-0.4797,0.3105,-0.3213,0.5054,-0.813,0.2343,
-1.927,0.1765,0.092,-0.842,-1.758,0.0098,-0.546,0.7373,-0.4326,0.1555,0.8354,-0.7544,-0.688,-0.2869,0.2556,-0.3726,-0.4355,0.6675,-0.9097,-0.1407,
-0.7603,-0.381,0.5835,-1.145,-1.359,0.1122,-0.1548,1.061,-0.6357,-0.557,0.2524,0.0267,-0.425,0.667,0.4775,-1.625,-0.4736,0.6416,-1.262,-0.5166,
-0.742,-0.5845,1.018,-1.105,-0.8813,0.35,-0.727,1.049,-0.5786,-1.641,-0.1946,0.1089,-0.4229,1.916,0.4248,-3.086,0.01039,0.1459,-0.588,-0.5815,
0.01424,-0.1294,-0.2471,-0.3843,0.423,-0.263,-0.2805,-0.413,-0.499,-0.516,-0.434,-0.4,-0.895,1.708,-2.527,-3.33,1.5,-0.812,0.3892,0.562,
